ax_0_0_plot_000_x,ax_0_0_plot_000_y,ax_0_0_plot_001_x,ax_0_0_plot_001_y,ax_1_0_plot_002_x,ax_1_0_plot_002_y,ax_1_0_plot_003_x,ax_1_0_plot_003_y,ax_2_0_plot_004_x,ax_2_0_plot_004_y,ax_2_0_plot_005_x,ax_2_0_plot_005_y
0.181640625,-0.16701445,0.181640625,0.4444927506308517,0.181640625,0.44390976,0.181640625,0.44390988,0.181640625,1.9565259,0.181640625,1.9565257
0.18359375,-0.24419543,0.18359375,0.4489232594051811,0.18359375,0.4484091,0.18359375,0.4484093,0.18359375,2.1466866,0.18359375,2.1466866
0.185546875,-0.31424242,0.185546875,0.4533702571786865,0.185546875,0.45293117,0.185546875,0.4529313,0.185546875,2.3375452,0.185546875,2.3375454
0.1875,-0.37431762,0.1875,0.4578333617716142,0.1875,0.45749152,0.1875,0.45749155,0.1875,2.5290618,0.1875,2.529062
0.189453125,-0.4218517,0.189453125,0.4623121842665254,0.189453125,0.46207064,0.189453125,0.46207055,0.189453125,2.7212749,0.189453125,2.7212749
0.19140625,-0.45465595,0.19140625,0.466806329037383,0.19140625,0.4666761,0.19140625,0.46667603,0.19140625,2.9141362,0.19140625,2.9141362
0.193359375,-0.47102487,0.193359375,0.4713153937809811,0.193359375,0.47129565,0.193359375,0.47129562,0.193359375,3.107695,0.193359375,3.107695
0.1953125,-0.46982545,0.1953125,0.4758389695507272,0.1953125,0.47592786,0.1953125,0.47592795,0.1953125,-2.981282,0.1953125,-2.9812822
0.197265625,-0.45056793,0.197265625,0.4803766407927906,0.197265625,0.48057014,0.197265625,0.48057008,0.197265625,-2.7863722,0.197265625,-2.7863722
0.19921875,-0.4134545,0.19921875,0.4849279853846237,0.19921875,0.485212,0.19921875,0.48521197,0.19921875,-2.5908022,0.19921875,-2.5908022
0.201171875,-0.35940242,0.201171875,0.489492574675866,0.201171875,0.4898599,0.201171875,0.48985997,0.201171875,-2.394524,0.201171875,-2.3945243
0.203125,-0.29003903,0.203125,0.4940699735316383,0.203125,0.49449706,0.203125,0.49449712,0.203125,-2.1975682,0.203125,-2.1975684
0.205078125,-0.20766753,0.205078125,0.4986597403782348,0.205078125,0.49913764,0.205078125,0.4991376,0.205078125,-1.9998963,0.205078125,-1.9998966
0.20703125,-0.11520264,0.20703125,0.5032614272512166,0.20703125,0.5037608,0.20703125,0.50376046,0.20703125,-1.8015233,0.20703125,-1.8015234
0.208984375,-0.016077802,0.208984375,0.5078745798459132,0.208984375,0.5083854,0.208984375,0.5083854,0.208984375,-1.6024269,0.208984375,-1.6024269
0.2109375,0.08587441,0.2109375,0.5124987375703365,0.2109375,0.5129904,0.2109375,0.51299053,0.2109375,-1.4026047,0.2109375,-1.4026049
0.212890625,0.18656468,0.212890625,0.5171334336005063,0.212890625,0.5175971,0.212890625,0.51759714,0.212890625,-1.2020524,0.212890625,-1.2020526
0.21484375,0.2818076,0.21484375,0.5217781949381947,0.21484375,0.5221865,0.21484375,0.5221866,0.21484375,-1.0007532,0.21484375,-1.000753
0.216796875,0.36749443,0.216796875,0.5264325424710844,0.216796875,0.52677906,0.216796875,0.526779,0.216796875,-0.7987187,0.216796875,-0.7987184
0.21875,0.4397714,0.21875,0.5310959910353452,0.21875,0.5313609,0.21875,0.53136086,0.21875,-0.59592044,0.21875,-0.59592044
0.220703125,0.4952158,0.220703125,0.5357680494806247,0.220703125,0.53594816,0.220703125,0.535948,0.220703125,-0.39238453,0.220703125,-0.39238492
0.22265625,0.531002,0.22265625,0.5404482207374518,0.22265625,0.54053414,0.22265625,0.540534,0.22265625,-0.18807688,0.22265625,-0.18807732
0.224609375,0.54504955,0.224609375,0.5451360018870492,0.224609375,0.5451281,0.224609375,0.54512805,0.224609375,0.016967528,0.224609375,0.01696709
0.2265625,0.53614587,0.2265625,0.5498308842335518,0.2265625,0.54973173,0.2265625,0.54973185,0.2265625,0.22278327,0.2265625,0.22278325
0.228515625,0.5040357,0.228515625,0.554532353378622,0.228515625,0.5543462,0.228515625,0.5543462,0.228515625,0.4293333,0.228515625,0.42933303
0.23046875,0.44947296,0.23046875,0.5592398892984604,0.23046875,0.5589802,0.23046875,0.55898035,0.23046875,0.63664585,0.23046875,0.63664556
0.232421875,0.37422907,0.232421875,0.563952966423199,0.232421875,0.5636271,0.232421875,0.5636272,0.232421875,0.8446868,0.232421875,0.84468675
0.234375,0.2810556,0.234375,0.568671053718672,0.234375,0.5683012,0.234375,0.56830114,0.234375,1.0534748,0.234375,1.0534747
0.236328125,0.17360058,0.236328125,0.5733936147705517,0.236328125,0.57298875,0.236328125,0.5729888,0.236328125,1.262985,0.236328125,1.2629848
0.23828125,0.056279548,0.23828125,0.5781201078708403,0.23828125,0.57770705,0.23828125,0.5777072,0.23828125,1.473223,0.23828125,1.4732226
0.240234375,-0.06589505,0.240234375,0.5828499861067042,0.240234375,0.5824383,0.240234375,0.58243847,0.240234375,1.6841756,0.240234375,1.6841757
0.2421875,-0.18752033,0.2421875,0.5875826974516385,0.2421875,0.5871989,0.2421875,0.58719915,0.2421875,1.8958365,0.2421875,1.8958367
0.244140625,-0.30303743,0.244140625,0.5923176848589471,0.244140625,0.59197044,0.244140625,0.5919705,0.244140625,2.1082067,0.244140625,2.1082067
0.24609375,-0.40698448,0.24609375,0.5970543863575224,0.24609375,0.5967654,0.24609375,0.5967655,0.24609375,2.3212683,0.24609375,2.3212683
0.248046875,-0.4942566,0.248046875,0.6017922351499091,0.248046875,0.60156715,0.248046875,0.60156745,0.248046875,2.5350344,0.248046875,2.5350342
0.25,-0.56036127,0.25,0.6065306597126334,0.25,0.60638314,0.25,0.60638326,0.25,2.749481,0.25,2.7494812
0.251953125,-0.6016561,0.251953125,0.6112690838987801,0.251953125,0.6112011,0.251953125,0.61120117,0.251953125,2.9646304,0.251953125,2.9646306
0.25390625,-0.61555624,0.25390625,0.6160069270427959,0.25390625,0.61602145,0.25390625,0.61602145,0.25390625,-3.1027281,0.25390625,-3.1027284
0.255859375,-0.60070074,0.255859375,0.6207436040675001,0.255859375,0.62083834,0.255859375,0.6208385,0.255859375,-2.886198,0.255859375,-2.8861978
0.2578125,-0.55706567,0.2578125,0.6254785255932782,0.2578125,0.62564594,0.2578125,0.6256459,0.2578125,-2.6689868,0.2578125,-2.6689868
